 -a, -um",adjective,"nearest, next",2.1,2.1,N/A,4,N/A
 -avi, -atum",verb,"(with dat. or ad + acc.) to approach; come near to, draw near (space/time)",1.3,2.1,N/A,1,N/A
 -i (n.)",noun,"trial, experiment, attempt, test; risk, hazard, danger, peril",1.3,2.1,N/A,10,265
"a, ab, abs",preposition,"(with abl.) from, away from, out of, by",1.1,2.1,N/A,21,21
"abeo, -ire, -ii, -itum",verb,"to go from, go away, go off, go forth, go, depart",1.1,2.2,N/A,3,553
"absum, abesse, afui",verb,"to be away from, be absent",5.3,N/A,N/A,0,445
"accedo (adc-), -ere, -cessi, -cessum",verb,"to go to, come to, come near, draw near, approach, enter",2.1,2.1,N/A,3,614
"accendo (adc-), -ere, -cendi, -censum",verb,"to kindle, set on fire, inflame",3.6,3.6,N/A,4,N/A
"accido, -ere, -cidi",verb,"to fall upon, fall to, reach by falling, happen",3.1,3.1,N/A,3,799
"accipio (adc-), -ere, -cepi, -ceptum",verb,"to take without effort, receive, get, accept, hear",1.3,2.1,N/A,6,110
"accuso, -are, -avi, -atum",verb,"to accuse, blame, find fault; reprimand; charge (w/ a crime)",3.6,N/A,N/A,0,N/A
"acer, acris, acre",adjective,"sharp, bitter, pointed, piercing, shrill; keen; severe",1.1,2.1,N/A,2,587
"acies, -ei (f.)",noun,"sharp edge, point; front of an army, battle line; army",5.3,5.3,N/A,2,439
"addo, -ere, -didi, -ditum",verb,"to put to, place upon, lay on, join, attach",1.4,2.1,N/A,2,433
"adeo, -ire, -ii, -itum",verb,"to go to, come to, come up to, approach, draw near",1.2,2.2,N/A,4,595
"adsum (assum), adesse, adfui",verb,"to be at, be present, be at hand",2.4,2.4,N/A,1,279
"adsurgo (ass-), -ere, -surrexi, -surrectum",verb,"to rise up, rise, stand up",1.4,2.2,N/A,3,N/A
"adversus, -a, -um",adjective,"turned to, turned against, opposite, before, in front of; unfavorable",1.1,2.2,N/A,3,657
"adversus, adversum",preposition/ adverb,"(with acc.) opposite to, against; toward, against, before",1.1,N/A,N/A,0,460
"aedificium, -i (n.)",noun,building; structure,3.6,N/A,N/A,0,N/A
"aedifico, -are, -avi, -atum",verb,"to build, construct, make; create; establish; improve",3.6,N/A,N/A,0,N/A
"aeger, -gra, -grum",adjective,"sick, ill, injured; painful; corrupt; sad, sorrowful",1.2,2.2,N/A,1,810
"Aeneas, -ae (m.)",noun (proper),"Aeneas, leader of the Trojans",4.4,4.5,N/A,10,N/A
"aequo, -are, -avi, -atum",verb,"to make equal, equalize",4.4,4.5,N/A,3,N/A
"aequor, -oris (n.)",noun,"even surface, level; sea, ocean",4.4,4.4,6.2,4,424
"aequus, -a, -um",adjective,"level, even, equal, like; just, kind, impartial, fair; patient",1.2,2.1,N/A,1,610
"aestas, -atis (f.)",noun,summer; summer heat/weather; a year,4.1,N/A,N/A,0,N/A
"aetas, -atis (f.)",noun,"life of a man, age, lifetime, years",3.4,N/A,N/A,0,308
"aether, -eris (acc. aethera) (m.)",noun,"upper air, sky",4.4,4.5,N/A,3,851
"affirmo (adf-), -are, -avi, -atum",verb,"to strengthen; confirm, encourage; declare",3.1,3.2,N/A,3,N/A
"ager, agri (m.)",noun,"(productive) land, a field, farm, estate, pasture",5.4,5.4,N/A,1,324
"agmen, -inis (n.)",noun,"multitude, troop, crowd; battle line, army",2.3,2.3,N/A,3,358
"ago, -ere, egi, actum",verb,"to put in motion, do, act, move, lead, drive",1.2,2.1,5.6,10,69
"agricola, -ae (m.)",noun,"farmer, countryman, peasant",1.1,N/A,N/A,0,N/A
"aio (defective verb, ais, ait, aiunt)",verb,"to assert, affirm, say, tell, relate",2.3,2.3,N/A,1,406
"albus, -a, -um",adjective,"white, pale, fair, gray; bright, clear; favorable, auspicious",3.1,3.2,N/A,1,925
"Alexandrinus, -a, -um",adjective,"Alexandrian, pertaining to Alexandria (a city in Egypt)",3.4,3.5,N/A,3,N/A
"alienus, -a, -um",adjective,"of another, belonging to another, not one’s own, foreign, alien, strange",2.3,2.3,N/A,3,367
"aliqui (aliquis), aliqua, aliquod",adjective,"some, any",3.1,3.1,N/A,3,N/A
"aliquis, aliquid",pronoun/ adjective,"someone, anyone, anybody, one or another; neut., something, anything",3.1,N/A,N/A,0,77
"alius, -a, -ud",adjective,"another, other, different; one...the other (alius...alius), some...others (alii...alii)",1.1,2.1,5.6,22,37
"alter, -tera, -terum",adjective,"one, another, the one, the other (of two)",2.3,2.3,N/A,2,148
"altum, -i (n.)",noun,height; high sky; deep sea,2.1,2.1,N/A,4,N/A
"altus, -a, -um",adjective,"high, lofty, elevated, great; deep, profound",1.2,2.2,N/A,12,159
"ambulo, -are, -avi, -atum",verb,"to walk, take a walk; travel, march",1.2,N/A,N/A,0,N/A
"amicitia, -ae (f.)",noun,"friendship; alliance, association; friendly relations",1.3,N/A,N/A,0,690
"amicus, -a, -um",adjective,"loving, friendly, kind, favorable",1.3,N/A,N/A,0,198
"amicus, -i (m.)",noun,"loved one, loving one, friend",1.3,2.2,N/A,4,N/A
"amitto, -ere, -isi, -issum",verb,"to send away, dismiss, part with, let go, lose",5.4,N/A,N/A,0,486
"amnis, -is (m.)",noun,river,5.4,5.4,N/A,2,467
"amo, -are, -avi, -atum",verb,to love,5.1,N/A,N/A,0,219
"amor, -oris (m.)",noun,"love, affection, strong friendly feeling",5.1,5.1,N/A,10,116
"amplector, -i, amplexus sum",verb,"to twine around, encircle, encompass, embrace",2.4,2.4,N/A,3,N/A
"ancilla, -ae (f.)",noun,enslaved woman,1.3,N/A,N/A,0,N/A
"angustus, -a, -um",adjective,"narrow, steep, close, confined; scanty, poor; narrowminded, petty",1.3,2.2,N/A,2,N/A
"anima, -ae (f.)",noun,"air, a current of air, breeze, wind; breath, life, soul",1.4,2.2,N/A,2,493
"animal, -is (n.)",noun,"animal, living thing",1.4,N/A,N/A,0,547
"animus, -i (m.)",noun,"soul, intelligence, reason, intellect, mind; courage",1.1,2.1,N/A,10,40
"annus, -i (m.)",noun,year,2.3,2.3,N/A,8,167
"antiquus, -a, -um",adjective,"ancient, former, old, of old times",4.4,4.4,N/A,3,617
"anxius, -a, -um",adjective,"anxious, uneasy, disturbed; concerned; careful",3.6,3.6,N/A,1,N/A
"aperio, -ire, -ui, -tum",verb,"to uncover, open, disclose; explain, recount; reveal; establish",1.4,2.2,6.2,4,837
"appareo (adp-), -ere, -ui, -itum",verb,"to appear, come in sight, make an appearance",2.1,2.1,N/A,3,830
"appello (adp-), -are, -avi, -atum",verb,"to call, address, name; request, implore, demand",3.4,N/A,N/A,0,700
"Appia, -ae (f.)",noun (proper),a Roman female name (nomen – name of a Roman gens),1.1,N/A,N/A,0,N/A
"appropinquo (adp-), -are,
"aqua, -ae (f.)",noun,water,1.2,2.2,N/A,6,272
"ara, -ae (f.)",noun,"structure for sacrifice, altar",4.6,4.6,N/A,2,374
"arbor (arbos), -oris (f.)",noun,tree,1.4,2.1,N/A,1,468
"architectus, -i (m.)",noun,"architect; inventor, designer",3.4,3.4,N/A,1,N/A
"arcus, -us (m.)",noun,"bow, arc, arch; rainbow; anything arched or curved",3.4,3.4,N/A,1,N/A
"ardens, -entis",adjective,"glowing, fiery, hot, ablaze, burning, eager",4.6,4.6,N/A,4,N/A
"ardeo, -ere, arsi, arsum",verb,"to be on fire, burn, blaze, be burned, glow",1.3,2.2,N/A,3,618
"area, -ae (f.)",noun,"ground, dry land, open space",2.3,2.3,N/A,1,N/A
"arena (harena), -ae (f.)",noun,"sand, grains of sand; sandy land or desert; seashore; arena",2.1,2.2,N/A,,
"arma, -orum (n. pl.)",noun,"implements, outfit, instruments, tools; implements of war, arms, weapons",1.3,4.4,N/A,10,98
"ars, artis (f.)",noun,"practical skill, art",5.3,5.3,N/A,1,258
"arvum, -i (n.)",noun,"field, cultivated land, plowed land",4.6,4.6,6.2,4,637
"arx, arcis (f.)",noun,"castle, citadel, fortress, stronghold",4.4,4.4,6.1,6,638
"ascendo (ads-), -ere, -cendi, -censum",verb,"to climb, go/climb up; mount, scale; embark; rise, ascend, move upward",1.4,2.1,N/A,2,990
"aspicio (ads-), -ere, -exi, -ectum",verb,"to look at, look upon, behold, look",1.4,2.2,N/A,2,483
"at, ast",conjunction,but (introducing a contrast to what precedes),1.2,4.6,N/A,4,74
"ater, atra, atrum",adjective,"black, coal-black, gloomy, dark",2.3,2.3,N/A,5,N/A
"Athenae, -arum (f. pl.)",noun (proper),Athens (city in Greece),3.1,3.1,N/A,2,N/A
"athleta, -ae (m.)",noun,"wrestler, boxer, athlete, one who is in public games; expert",1.3,N/A,N/A,0,N/A
"atque, ac",conjunction,and; than (correl. with alius); as (correl. with idem),1.1,2.2,N/A,21,35
"atrium, -i (n.)",noun,"atrium, reception hall in a Roman house",1.2,N/A,N/A,0,N/A
"attonitus, -a, -um",adjective,"astonished, fascinated; stupefied, dazed; inspired",2.3,2.3,N/A,1,N/A
"audacia, -ae (f.)",noun,"boldness, courage, confidence; recklessness",1.4,N/A,N/A,0,N/A
"audax, -acis",adjective,"bold; courageous; reckless, rash; presumptuous",1.4,N/A,N/A,0,876
"audeo, -ere, ausus sum",verb,"to venture, dare, be bold, dare to do, risk",3.6,N/A,N/A,0,270
"audio, -ire, -ivi (or -ii), -itum",verb,"to hear, listen (to)",1.1,2.2,N/A,11,165
"aura, -ae (f.)",noun,"air (in motion), a breeze, breath of air, wind, blast",5.1,5.1,N/A,4,420
"Aurelius, -i (m.)",noun (proper),a Roman male name (nomen – name of a Roman gens),1.2,N/A,N/A,0,N/A
"aureus, -a, -um",adjective,"of gold, golden; gilded; gleaming like gold; splendid",5.3,5.3,N/A,1,691
"auris, -is (f.)",noun,ear,3.1,3.1,N/A,3,366
"aurum, -i (n.)",noun,gold,5.3,5.4,N/A,3,303
"auxilium, -i (n.)",noun,"help, assistance; remedy; supporting resource, force; (pl.) auxiliary troops",4.6,4.6,N/A,2,543
"avunculus, -i (m.)",noun,"maternal uncle, mother’s brother",2.1,2.1,N/A,8,N/A
"beatus, -a, -um",adjective,"happy, prosperous, blessed, fortunate",1.4,2.1,N/A,3,408
"bellum, -i (n.)",noun,war,1.2,4.4,N/A,9,86
"beneficium, -i (n.)",noun,"favor, benefit, service, kindness",3.4,3.5,N/A,2,182
"benignus, -a, -um",adjective,"kind, favorable; kindly, mild, affable",3.6,N/A,N/A,0,N/A
"bibo, -ere, bibi",verb,to drink,4.1,N/A,N/A,0,N/A
"bonus, -a, -um",adjective,good,1.2,3.4,N/A,1,68
"brevis, -e",adjective,"short, small, shallow, brief",1.2,N/A,N/A,0,589
"cado, -ere, cecidi, casum",verb,"to fall, fall down, descend, die",5.1,5.1,N/A,1,210
"caedes, -is (f.)",noun,"cutting-down, killing, slaughter, carnage, massacre",5.1,N/A,N/A,0,415
"Caelius, -i (m.)",noun (proper),a Roman male name (nomen – name of a Roman gens),1.1,N/A,N/A,0,N/A
"caelum, -i (n.)",noun,"sky, heaven, heavens, vault of heaven",2.1,4.5,N/A,6,117
"caligo, -inis (f.)",noun,"thick air, mist, vapor, fog",1.2,2.2,6.2,3,N/A
"Camilla, -ae (f.)",noun (proper),"Camilla, warrior and leader of the Volsci",5.4,5.4,N/A,4,N/A
"campus, -i (m.)",noun,"plain, field, open country, level place",2.3,2.3,N/A,2,391
"candidus, -a, -um",adjective,"bright, clear, transparent; clean, spotless; innocent, pure, unaffected, honest; white, pale",4.1,N/A,N/A,0,692
"canis, -is (m. or f.)",noun,dog,1.1,N/A,N/A,0,687
"cano, -ere, cecini, cantum",verb,"to make music; sing (of), sound; prophesize",4.4,4.4,N/A,3,389
"capillus, -i (m.)",noun,"hair of the head, hair",3.1,3.1,6.1,6,N/A
"capio, -ere, cepi, captum",verb,"to take in hand, take hold of, lay hold of, take, seize, grasp",5.1,5.1,N/A,5,131
"caput, -itis (n.)",noun,head,1.3,2.2,N/A,9,124
"carmen, -inis (n.)",noun,"song, poem, verse, prophecy, note, sound (vocal or instrumental)",3.6,N/A,N/A,0,254
"Carthago (Karthago), -inis (f.)",noun (proper),"Carthage, a city in north Africa",3.1,3.1,N/A,3,N/A
"carus, -a, -um",adjective,"dear, precious, valued, esteemed, beloved",4.4,4.4,N/A,5,462
"castra, -orum (n. pl.)",noun,"military camp, encampment, fort",3.6,N/A,N/A,0,224
"castrum, -i (n.)",noun,"fortified place, fort, fortress",3.6,N/A,N/A,0,224
"casus, -us (m.)",noun,"falling, falling down, fall; misfortune, mishap, calamity",1.4,2.1,6.1,6,344
"catena, -ae (f.)",noun,"chain, shackle",3.1,3.1,N/A,3,N/A
"caterva, -ae (f.)",noun,"crowd, troop, throng, band, mob",4.4,4.5,6.2,5,N/A
"causa, -ae (f.)",noun,"cause, reason, motive, occasion, opportunity; (in the ablative) for the sake of",2.4,2.4,N/A,9,107
"caveo, -ere, cavi, cautum",verb,"to beware, avoid, be on guard; guarantee; take care of, decree",1.1,N/A,N/A,0,941
"cedo, -ere, cessi, cessum",verb,"to go from, give place, withdraw, go away, depart, yield, move",5.3,5.3,N/A,2,304
"celebro, -are, -avi, -atum",verb,"to celebrate, perform; frequent; honor; publicize; discuss",2.1,2.1,N/A,1,893
"celer, -eris, -ere",adjective,"swift, fleet, quick, speedy",5.1,5.1,N/A,3,745
"celeritas, -atis (f.)",noun,"speed, quickness; speed of action; haste",4.1,N/A,N/A,0,N/A
"celo, -are, -avi, -atum",verb,"to hide something from one, keep secret, conceal",4.1,N/A,N/A,0,N/A
