ā or ab, prep.+ abl.; from; 13
abeō, abīre, abiī or abīvī, abitūrus, irreg.; to go away; 3, 9
abi!/abite!; Go away!; 3
abhinc, adv.; ago, previously; 25
absum, abesse, afuī, afutūrus, irreg.; to be away, be absent, be distant; 11, 25
accidit, accidere, accidit; (it) happens; 14, 26
accusō, -āre, -āvī, -ātus; to accuse; 21
ad, prep. + acc.; to, toward, at, near; 2, 9
adhūc, adv.; still; 5, 13
adiuvō, adiuvāre, adiūvī, adiūtus; to help; 6, 21
admōveo, admovere, admōvī, admōtus; to move toward; 22
adsum, adesse, adfuī, adfutūrus, irreg.; to be present; 2, 6
adveniō, advenīre, advēnī, adventūrus; to reach, arrive (at); 5, 23
advesperāscit, advesperāscere, advesperāvit; it gets dark; 17
aedificium, -ī, n.; building; 17
aedificō, -āre, -āvī, -ātus; to build; 24
aestās, aestātis, f.; summer; 1
      aestāte; in the summer; 1, 12
aestus, -ūs, m.; heat; 24, 25
ager, agrī, m.; field; 2
agnōscō, agnōscere, agnōvī, agnitus; to recognize; 18
agō, agere, ēgī, āctus; to do, drive; 8, 14, 23
Age!/Agite!; Come on!; 8
	Gratiās tibi agō!; I thank you! Thank you!; 26
	Quid agis?; How are you?; 18
albātus, -a , -um; white; 27
aliquid; something; 25
aliter, adv.; otherwise; 26
alius, alia, aliud; another, other; 10
aliī...aliī...; some ... others ...; 9
alius...alius; one ... another; 
alter, altera, alterum; second, one (of two), the other (of two), another; 1
alter...alter; the one…the other; 16
ambulō, -āre, -āvī, -ātūrus; to walk; 2
amīca, -ae, f.; friend; 2
amīcus, -ī, m.; friend; 3
amō, -āre, -āvī, -ātus; to like, love; 4
amphitheatrum, -ī, n.; amphitheater; 25
ancilla, -ae, f.; slave-woman; 6
animus, -ī, m.; mind; 16
animum recuperāre; to regain one’s senses, wake up; 21
in animō habēre; to intend; 16
anteā, adv.; previously, before; 20
antīquus, -a, - um; ancient; 26
aperiō, aperīre, aperuī, apertus; to open; 16, 26
appāreō, -ēre, -uī, -itūrus; to appear; 15, 18
appellō, -āre, -āvī, -ātus; to call, name; 21
appropinquō, -āre, -āvī, -atūrus + dat. or ad + acc.; to approach, come near (to); 4, 22
apud, prep. + acc.; at the house of, with, in front of, before; 16, 26
aqua, -ae, f.; water; 6
aquaeductus, -ūs, m.; aqueduct; 23, 25
arbor, arboris, f.; tree; 1
arcus, -ūs, m.; arch; 24, 25
ārea, -ae, f.; open space, threshing floor; 11
arripiō, arripere, arripuī, arreptus; to grab hold of, snatch, seize; 5, 19 , 26
ars, artis, gen. pl., artium, f.; skill; 14
ascendō, ascendere, ascendī, ascēnsus; to climb, climb into (a carriage); 4, 22
Asia, -ae, f.; Asia (Roman province in western Asia Minor); 21
at, conj.; but; 23
atque, conj.; and, and also; 22
ātrium, -ī, n.; atrium, main room; 26
attentē, adv.; attentively, closely; 20
attonitus, -a, -um; astonished, astounded; 24
audiō, audīre, audīvī, audītus; to hear, listen to; 4, 20
aureus, -a, -um; golden; 25
aurīga, -ae, m.; charioteer; 13
aurum, -ī, n.; gold; 21
aut...aut..., conj.; either ... or ...; 26
auxilium, -ī, n.; help; 5, 15
	Fer/Ferte auxilium!; Bring help! Help!; 5
baculum, -ī, n.; stick, staff; 10, 15
Baiae, -ārum, f. pl.; Baiae; (a town near Neapolis)
bene, adv.; well; 22
bonus, -a, -um; good; 12
bona, -ōrum, n. pl.; goods, possessions; 26
bos, bōvis, m./f.; ox, cow; 15
brevis, -is, -e; short; 2
brevī tempore; in a short time, soon; 2, 12
Britannia, -ae, f.; Britain; 8
Britannicus, -a, -um; British; 3
cadō, cadere, cecidī, cāsūrus; to fall; 3, 22
caelum, -ī, n.; sky; 17
Caesar, Caesaris, m.; Caesar, emperor; 27
calidus, -a, -um; warm; 5
Caligula, -ae, m.; Caligula (emperor, A.D. 37-41; 27
canis, canis, m./f.; dog; 12
cantō, -āre, -āvī, -ātus; to sing; 21
capiō, capere, cēpī, captus; to take, catch, capture; 21
captīvus, -ī, m.; prisoner; 26
caput, capitis, n.; head; 25
cārissimus, - a, -um; dearest; 16
cauda, -ae, f.; tail; 18
caupō, caupōnis, m.; innkeeper; 17
caupōna, -ae, f.; inn; 17, 20
causa, -ae, f.; reason; 25
caveō, cavēre, cāvō, cautus; to be careful, watch out (for), bewarre (of); 4, 13, 23
	Cavē!/Cavēte!; Be careful! Watch out (for), Beware (of)!; 4, 13 , 23
celeriter, adv.; quickly; 8, 13
celerrimē, adv.; very fast, very quickly; 14
cēlō, -āre, -āvī, -ātus; to hide; 11
cēna, -ae, f.; dinner; 19
cēnō, -āre, -āvī, -ātus; to dine, eat dinner; 19
centum; a hundred; 15
certē, adv.; certainly; 19
cessō, -āre, -āvī, -ātūrus; to be idle, do nothing, delay; 14
cibus, -ī, m.; food; 6
circēnsis, -is, -e; in/of the circus; 27
	lūdī circēnsēs; games in the circus, chariot races; 27
circumeō, circumīre, circumiī or circumivī, circumitus, irreg.; to go around; 24
Circus Maximus, -ī, m.; Circus Maximus (a stadium in Rome); 23
cisium, -ī, n.; light two-wheeled carriage; 14, 15 •
cista, -ae, f.; trunk, chest; 10
cīvis, cīvis, gen. pl., cīvium, m./f.; citizen; 13
clāmō, -āre, -āvī, -ātūrus; to shout; 3
clāmor, clāmoris, m.; shout, shouting; 5
claudō, claudere, clausī, clausus; to shut; 26
clausus, -a, -um; shut, closed; 24
cliens, clientis, gen. pl., clientium, m.; client, dependent; 25
cōgitō, -āre, -āvī, -ātus; to think; 21
colloquium, -ī, n.; conversation; 26
colo, colere, coluī, cultus; to cultivate, care for; 23
commōtus, -a, -um; moved, disturbed, overcome; 14
complexus, -ūs, m.; embrace; 9, 25
	complexū; in an embrace; 9
concido, concidere, concidī; to fall down; 14
condūcō, condūcere, condūxī, conductus; to hire; 23
cōnficio, cōnficere, cōnfēcī, confectus; to finish; 25
cōnfīdō, cōnfīdere (+ dat.); to give trust (to), trust; 26
coniciō, conicere, coniēcī, coniectus; to throw; 21
coniūnx, coniugis, m./f.; husband, wife; 26
cōnsīdō, cōnsīdere, cōnsēdī; to sit down; 23
cōnspiciō, cōnspicere, cōnspexī, cōnspectus; to catch sight of; 4, 21
cōnstituō, cōnstituere, cōnstituī, cōnstitūtus; to decide; 23
cōnsulō, cōnsulere, cōnsuluī, consultus; to consult; 7
convocō, -āre, -āvī, -ātus; to call together; 12
coquō, coquere, cōxī, coctus; to cook; 6
Cornēliānus, -a, -um; belonging to Cornelius, Cornelian; 10
Cornēliī, -ārum, m. pl.; the Cornelii, the Cornelius family; 10
corpus, corporis, n.; body; 21
crās, adv.; tomorrow; 10, 13
crotalum, -ī, n.; castanet; 21
cubiculum, -ī, n.; room, bedroom; 8, 15
cubitum īre; to go to bed; 19
cui; to whom, to him, to her; 19
