# =============================================================================
# Latin Practice Vocabulary
# Format: entry<TAB>translation
# Lines starting with # and blank lines are ignored.
# =============================================================================

# NOUNS
# Format: nomSg, genSg, gender<TAB>translation
# For 3rd declension i-stems: nomSg, genSg, -ium, gender<TAB>translation
#                             or nomSg, genSg, marium, gender<TAB>translation

puella, -ae, f.	girl
vīlla, -ae, f.	house, country house
amīcus, -ī, m.	friend
amīca, -ae, f.	friend
puer, -ī, m.	boy
hortus, -ī, m.	garden
servus, -ī, m.	slave, enslaved person
vir, virī, m.	man
vōx, vōcis, f.	voice
silva, -ae, f.	forest, woods
lupus, -ī, m.	wolf
pater, patris, m.	father
māter, mātris, f.	mother
ancilla, -ae, f.	slave woman
cibus, -ī, m.	food
aqua, -ae, f.	water
nūntius, nūntiī, m.	messenger
prīnceps, prīncipis, m.	emperor
tempus, temporis, n.	time
cubiculum, -ī, n.	bedroom
baculum, -ī, n.	staff, stick
equus, -ī, m.	horse
dominus, -ī, m.	master, enslaver
īra, -ae, f.	anger
porta, -ae, f.	gate
canis, canis, m./f.	dog
vēstīgium, -ī, n.	track, trace, footprint
pēs, pedis, m.	foot
aurīga, aurīgae, m.	charioteer
cīvis, cīvis, -ium, m./f.	citizen
pars, partis, -ium, f.	part
iter, itineris, n.	journey, trip, route
culpa, -ae, f.	fault, blame
ars, artis, -ium, f.	art, skill
pulvis, pulveris, m.	dust
onus, oneris, n.	burden, load
bōs, bovis, m./f.	cow, ox, cattle
animus, animī, m.	mind
hospes, hospitis, m./f.	guest, host
caelum, -ī, n.	heaven, sky
aedificium, -ī, n.	building
caupōna, -ae, f.	inn
caupō, caupōnis, m.	innkeeper
homō, hominis, m.	human being, man
cēna, -ae, f.	dinner
lectus, -ī, m.	bed, couch
mīles, mīlitis, m.	soldier
fabula, -ae, f.	story
somnus, -ī, m.	sleep
corpus, corporis, n.	body
lūx, lūcis, f.	light
sepulcrum, -ī, n.	tomb
bellum, -ī, n.	war
cōnsilium, -ī, n.	plan, advice
dōnum, -ī, n.	gift
oppidum, -ī, n.	town
perīculum, -ī, n.	danger
plaustrum, -ī, n.	wagon, cart
saxum, -ī, n.	rock
verbum, -ī, n.	word
opus, operis, n.	work
caput, capitis, n.	head
carmen, carminis, n.	song, poem
flūmen, flūminis, n.	river
lēx, lēgis, f.	law
nōmen, nōminis, n.	name
rēx, rēgis, m.	king
tempus, temporis, n.	time
vulnus, vulneris, n.	wound
mare, maris, -ium, n.	sea

# ADJECTIVES
# Format: dictionary_entry<TAB>translation
# 2-1-2:
#   "bonus, -a, -um<TAB>good" or "pulcher, pulchra, pulchrum<TAB>beautiful"
# 3rd Declension formats supported:
#   3 terminations: "ācer, ācris, ācre<TAB>sharp, keen"
#   3 parts listed: "fortis, fortis, forte<TAB>brave, strong"
#   2 terminations: "fortis, forte<TAB>brave, strong" or "fortis, -e<TAB>brave, strong"
#   1 termination (4 parts): "ingēns, ingēns, ingēns, gen. ingentis<TAB>huge, vast"
#   1 termination (2 parts): "ingēns, ingentis<TAB>huge, vast" or "ingēns, gen. ingentis<TAB>huge, vast"

ācer, ācris, ācre	sharp, keen

bonus, -a, -um	good
magnus, -a, -um	large, great
malus, -a, -um	bad, evil
multus, -a, -um	much, many
parvus, -a, -um	small
pulcher, pulchra, pulchrum	beautiful
miser, misera, miserum	wretched, sad
novus, -a, -um	new
longus, -a, -um	long
fortis, fortis, forte	brave, strong
brevis, brevis, breve	short, brief
gravis, gravis, grave	heavy, serious
omnis, omnis, omne	all, every
facilis, facilis, facile	easy
difficilis, difficilis, difficile	difficult
dulcis, dulcis, dulce	sweet
ingēns, ingēns, ingēns, gen. ingentis	huge, vast
fēlīx, fēlīx, fēlīx, gen. fēlīcis	happy, fortunate
